"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
-0.802958900562139,7.41897095985224,3.42959109765741e-11,3.74306009288916e-09,"Cspg5","GSE104036","Mouse"
2.00159165939164,1.65488603732416,3.52605831642924e-11,3.82398792734272e-09,"Gbp3","GSE104036","Mouse"
-0.858842009001577,6.37189314004623,3.55746015884471e-11,3.83377860514492e-09,"Icam5","GSE104036","Mouse"
1.45208382188515,3.65668673514916,3.70991311572918e-11,3.95516486846207e-09,"9430008C03Rik","GSE104036","Mouse"
1.33350602394987,2.79908249661083,3.71853676833132e-11,3.95516486846207e-09,"Cebpb","GSE104036","Mouse"
3.53166252513434,0.293193892909418,3.73934466700237e-11,3.95516486846207e-09,"Il1b","GSE104036","Mouse"
1.00971153462841,6.44793962663921,4.05214677563421e-11,4.24064584569024e-09,"Mt1","GSE104036","Mouse"
1.90189524441044,4.667955681641,4.05874478373621e-11,4.24064584569024e-09,"Serpinh1","GSE104036","Mouse"
2.18493401838989,2.11715101514753,5.32619587249630e-11,5.53117371364995e-09,"Cd109","GSE104036","Mouse"
-0.786090952256774,7.63490778772359,5.60794552917977e-11,5.78868353268044e-09,"Tyro3","GSE104036","Mouse"
-1.04244060944163,5.33689956228535,6.48688894444243e-11,6.65585880616892e-09,"1110008P14Rik","GSE104036","Mouse"
-0.890798427669159,6.94376337859759,6.77553646368751e-11,6.91064388721937e-09,"Sez6","GSE104036","Mouse"
2.8380371887936,0.997651463418945,7.0933246853305e-11,7.19195967355847e-09,"Igf2bp2","GSE104036","Mouse"
2.26059277194498,0.347463804500144,8.18975651303658e-11,8.25479281475775e-09,"Insm2","GSE104036","Mouse"
1.18455859845657,4.29374765248024,9.67970392226270e-11,9.69951618175272e-09,"Wwtr1","GSE104036","Mouse"
-0.800839689547394,8.54927165313628,1.22104159593985e-10,1.21642719455985e-08,"Pld3","GSE104036","Mouse"
1.33585597938078,4.55307766158826,1.23142007114373e-10,1.21967531323975e-08,"Csf1","GSE104036","Mouse"
1.73501005617786,3.23425500082258,1.26683044426836e-10,1.24753676221485e-08,"Cd68","GSE104036","Mouse"
-0.792602209634472,5.94787654606471,1.60017836690831e-10,1.56048829283496e-08,"Gm22442","GSE104036","Mouse"
4.10602729385711,4.17717124133485,1.60283594711966e-10,1.56048829283496e-08,"Cd14","GSE104036","Mouse"
2.17089360991044,3.06450298910764,1.62207079358252e-10,1.57029282757268e-08,"Rhoj","GSE104036","Mouse"
2.18487477214207,0.366769447388901,1.75724733453507e-10,1.69159736389093e-08,"Tmem106a","GSE104036","Mouse"
0.89301471878236,5.5177217120482,1.82945159691026e-10,1.75126553704231e-08,"Ifrd1","GSE104036","Mouse"
-1.02642577191645,3.81471807195017,1.84671979797623e-10,1.75797465212904e-08,"Thrsp","GSE104036","Mouse"
-0.792903777017154,8.32732444622544,1.89475957580343e-10,1.79374062604375e-08,"Tuba1a","GSE104036","Mouse"
4.82188910626314,0.139104663120458,2.03211862375423e-10,1.91155450069582e-08,"4930562C15Rik","GSE104036","Mouse"
5.30922143016477,-0.39992877432241,2.0415201262173e-10,1.91155450069582e-08,"Hcar2","GSE104036","Mouse"
3.14493619010492,0.39769392068831,2.0788570191383e-10,1.93593559907255e-08,"Dmbx1","GSE104036","Mouse"
-0.839221559038882,8.15213238818293,2.15129393087942e-10,1.99256332462805e-08,"Camkv","GSE104036","Mouse"
2.01434372925653,3.65725327721993,2.2132806074129e-10,2.03895501118388e-08,"Ctsc","GSE104036","Mouse"
4.37460123855674,-1.50464526198734,2.52804424862633e-10,2.31647263102738e-08,"Pkp3","GSE104036","Mouse"
-0.722009014432777,7.44379027128079,2.77989242711785e-10,2.53369450737576e-08,"Rnf112","GSE104036","Mouse"
2.70883615663404,1.85736543100964,2.83840930669938e-10,2.57334092435417e-08,"Pde6b","GSE104036","Mouse"
