"Name","Score","Gene"
"1367567_at",0.0045518795624898,"1367567_at"
"1395184_at",0.0045599861600944,"1395184_at"
"1367905_at",0.0045599861600944,"1367905_at"
"1388615_at",0.00456809983245514,"1388615_at"
"1386890_at",0.00457622057920581,"1386890_at"
"ILMN_2331266",0.0045940559657759,"ILMN_2331266"
"ILMN_4230091",0.0045940559657759,"ILMN_4230091"
"1379598_at",0.0045940559657759,"1379598_at"
"1390914_at",0.00461693041599066,"1390914_at"
"1370226_at",0.00463326385861707,"1370226_at"
"1398353_at",0.00465781705759426,"1398353_at"
"1370968_at",0.00468243388982896,"1370968_at"
"1382874_at",0.00469888045824672,"1382874_at"
"1398706_at",0.00469888045824672,"1398706_at"
"1374976_a_at",0.00470711434543564,"1374976_a_at"
"1388481_at",0.00472360332394304,"1388481_at"
"1370024_at",0.00472360332394304,"1370024_at"
"1370082_at",0.00474012057218257,"1370082_at"
"1388296_at",0.00475666608722562,"1388296_at"
"1371529_at",0.00477323986614367,"1371529_at"
"ILMN_2329773",0.00479370771970974,"ILMN_2329773"
"ILMN_6980100",0.00479370771970974,"ILMN_6980100"
"1376636_at",0.00479370771970974,"1376636_at"
"1374433_at",0.00479815352288053,"1374433_at"
"1389980_at",0.0048398175619995,"1389980_at"
"1370844_at",0.00484817155821286,"1370844_at"
"1370234_at",0.00486490073610122,"1370234_at"
"1387856_at",0.00489844382347742,"1387856_at"
"1388482_at",0.0049068472456033,"1388482_at"
"1389170_at",0.00498279567296466,"1389170_at"
"ILMN_2157951",0.00499335199105207,"ILMN_2157951"
"ILMN_4210400",0.00499335199105207,"ILMN_4210400"
"1380521_at",0.00499975072762351,"1380521_at"
"1376109_at",0.00503374549828686,"1376109_at"
"1367717_at",0.0050507852084379,"1367717_at"
"1367931_a_at",0.00505931564343788,"1367931_a_at"
"1398761_at",0.00507639767145771,"1398761_at"
"1374778_at",0.00513640689032807,"1374778_at"
"1388590_at",0.00515361583244958,"1388590_at"
"ILMN_1812281",0.00519298877998984,"ILMN_1812281"
"ILMN_5290097",0.00519298877998984,"ILMN_5290097"
"1367630_at",0.00519676153485967,"1367630_at"
"1372406_at",0.00519676153485967,"1372406_at"
"1383391_a_at",0.0052140691469863,"1383391_a_at"
"1392961_at",0.00522273352255027,"1392961_at"
"1388596_at",0.00523140494396042,"1388596_at"
"1377916_at",0.0052400834108511,"1377916_at"
"1368655_at",0.00524876892285664,"1368655_at"
"1393684_at",0.00525746147961139,"1393684_at"
"1396239_at",0.00527486772590593,"1396239_at"
"1398848_at",0.00530102992182585,"1398848_at"
"1390738_at",0.0053097647393975,"1390738_at"
"1382856_at",0.00537110562324107,"1382856_at"
"1373447_at",0.00537989676809495,"1373447_at"
