OriginalID,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,Dataset,Species
1369899_s_at,Rabggta,-0.334996542265783,7.94110738077242,0.0004103557834537,0.001879828508634,GSE61616,Rat
1387911_at,Rabggtb,-0.0320548398314425,10.3238339588329,0.656686722707113,0.725687598232838,GSE61616,Rat
1397488_at,Rabif /// RGD1563962,-0.181265193515231,4.46806940955005,0.0118461200323676,0.0273271923770564,GSE61616,Rat
1382039_at,Rabl2a,-0.526052052852767,7.52628822344395,0.0008983584768327,0.0034499938591036,GSE61616,Rat
1376807_at,Rabl3,0.150941421958282,7.35442148379536,0.129975259939903,0.196132787077057,GSE61616,Rat
1377683_at,Rabl6,-0.374017898384463,8.76527114674541,0.0004332575428242,0.0019567058269374,GSE61616,Rat
1372513_at,Rac1,1.44756368632675,9.10461657989938,6.199672076027511e-09,5.68742188473096e-07,GSE61616,Rat
1372404_at,Rac2,4.06681694009223,9.548116059513,2.0120862089210998e-13,1.80422798865897e-09,GSE61616,Rat
1396408_at,Rac3,-0.347650750880302,8.75283658956276,0.0057948073326393,0.0152322469138493,GSE61616,Rat
1373658_at,Racgap1,2.27086083741216,7.72266642113025,1.7610520051682702e-09,2.39157014448595e-07,GSE61616,Rat
1377338_at,Rad1,0.1185139788518,7.62923331723097,0.351957193142977,0.44186818253415,GSE61616,Rat
1385090_at,Rad17,0.129170353828674,8.38293193859824,0.0943499635435498,0.150974505595105,GSE61616,Rat
1392449_at,Rad18,0.181143714969555,7.65756716530309,0.103701922389117,0.163143771973854,GSE61616,Rat
1388504_at,Rad21,0.137359681854816,11.6281041732865,0.0025191562516298,0.0078015574855045,GSE61616,Rat
1397245_at,Rad23a,-0.328630343719168,6.98269813370851,0.0005676939655681,0.0024177916509454,GSE61616,Rat
1388550_at,Rad23b,-0.118218752618683,11.9305531183171,0.0186799637370688,0.0397623677110954,GSE61616,Rat
1385565_at,Rad50,-0.0817794553152935,3.54834522186315,0.399500968005265,0.489561060918738,GSE61616,Rat
1380277_at,Rad51ap1,0.248583037582597,5.40058571847759,0.0143481580597527,0.0319866213261828,GSE61616,Rat
1383436_at,Rad51b,2.13269289687371,5.87393079339669,3.5001378625994803e-09,3.87369350138724e-07,GSE61616,Rat
