gene,log2FC,pvalue,mean_plus,mean_minus,in_core
Cd59a,0.3098147449033161,7.544409698985872e-06,1.2215365008431085,0.9854688869913959,False
Pla2g12a,0.2564878446631453,7.935772207431121e-06,2.4976728457412407,2.0908603045952434,False
Rnpep,0.8447627914832987,8.165332155596448e-06,1.7806217190321822,0.9914543598650513,False
Slamf9,0.6957508202718217,8.814628287479247e-06,3.0578575537249644,1.8878843403944652,False
Was,0.43010322359620884,9.059300994542878e-06,3.2242052782907704,2.39303314048478,False
Il1rn,0.8346637146591521,9.184057745649124e-06,3.2848080906880393,1.8418369754480073,False
Txnip,0.057426915746970855,9.796538341181414e-06,1.1471690495794806,1.1024025194128118,True
Dynlt3,0.20556847601121342,1.0312762725326727e-05,1.5333689518512132,1.3297328195094185,False
Snta1,0.4963189907739891,1.1108851056206815e-05,2.917972536818,2.0685894074210367,False
Rabgap1l,1.0465302800777136,1.209018553600082e-05,5.789363618113252,2.802811055688086,False
Srp14,-0.32313080538871664,1.2603580342689564e-05,0.7760922878731622,0.9709244389427792,False
Snhg7os,0.0,1.2749759281940753e-05,0.0,8.226253122872002,False
Creg1,0.16975437814397892,1.4151358496462851e-05,1.1837266193164835,1.0523258875201889,False
Csf1,0.6659808707178055,1.5651466034386832e-05,3.0217610267686363,1.904495263709932,False
Ap1s2,0.2510300849427899,1.668912076096308e-05,1.9689799024288654,1.6545263871981963,False
BC026585,0.22041905625709396,1.7675260649100047e-05,4.370153429392703,3.7509729917943497,False
Bpnt1,0.549891378643924,1.7799406518775026e-05,2.8622821622340533,1.9551435282628216,False
Timm8a1,0.7886635479947767,1.796237370893331e-05,4.996962646138596,2.8926422054136283,False
Cat,0.49319129603619444,1.855390043133747e-05,2.391954032622143,1.699368076834668,False
S100a11,1.0267690267590235,1.873903535821393e-05,1.2532240409762927,0.6150925145038286,False
Slc39a1,0.41668052317504256,1.889281903650702e-05,1.8859932740732535,1.4128849644831962,False
Rbm39,-0.789330321001556,1.8929537383990962e-05,0.4658593009768404,0.805131602830824,False
Myeov2,-0.34472707181181056,1.9685557079842768e-05,0.9198024338845022,1.168066970023384,False
Rd3,0.9143150084630948,2.0457344594380402e-05,10.0,5.30595737717221,False
Scp2,0.03562499544289842,2.227062434558979e-05,0.8712905716863921,0.850038942428934,True
Fam71a,-0.05459570167802111,2.2632489934316576e-05,4.48644986811413,4.659483338579814,False
Vcam1,0.6131899886898606,2.2815009855617337e-05,2.17627986460672,1.4227420392579015,False
Gm14051,0.0,2.2931726142201555e-05,0.0,8.637280655102812,False
Pin4,0.13421722459026464,2.4893805657506655e-05,1.5358737620731813,1.3994329997255086,False
Plekho1,-0.11496606379162307,2.5143464784281994e-05,1.9531176312612617,2.115127901344044,False
Rhoc,0.6097236235394645,2.5293341938208993e-05,1.2037100504678038,0.7888179541839319,False
Thap4,0.40774986717255396,2.9040845910606983e-05,3.572231518085876,2.692741460103604,False
Ids,0.3474109122168009,2.932086544850679e-05,3.9264300511452856,3.086148072542299,False
Fahd2a,0.14645219754810054,2.9557119941526056e-05,3.6022581120707144,3.2545303331433075,False
