"pathway_name","source","target","prob","n_interactions"
"Glutamate","PER/Endo","GABAergic 1",253.236956296583,360
"Glutamate","OPC","GABAergic 1",253.045066940168,352
"Glutamate","PER/Endo","Glutamatergic 10",252.4538806648,360
"Glutamate","OPC","Glutamatergic 10",252.274344452656,352
"Glutamate","MG","Glutamatergic 8",251.681019394063,352
"Glutamate","Neuro 1","OPC",251.559703126266,361
"Glutamate","GABAergic 2","OPC",250.134937234612,360
"Glutamate","PER/Endo","Glutamatergic 3",249.285097531637,360
"Glutamate","OPC","Glutamatergic 3",249.170364078239,360
"Glutamate","MG","Glutamatergic 2",246.750247443103,360
"Glutamate","GABAergic 5","GABAergic 5",241.98759007886,344
"Glutamate","MG","GABAergic 3",239.974850022037,360
"Glutamate","PER/Endo","Glutamatergic 8",238.353911881401,344
"Glutamate","OPC","Glutamatergic 8",238.185271138176,336
"Glutamate","MG","GABAergic 2",234.600520198586,360
"Glutamate","MG","Glutamatergic 7",233.808555870349,336
"Glutamate","PER/Endo","Glutamatergic 2",233.76199521912,360
"Glutamate","OPC","Glutamatergic 2",233.656542784551,360
"Glutamate","MG","Glutamatergic 4",232.239805396619,344
"Glutamate","MG","Glutamatergic 5",227.439892348428,352
"Glutamate","MG","Glutamatergic 9",227.404780581947,352
"Glutamate","PER/Endo","GABAergic 3",227.340983907595,360
"Glutamate","OPC","GABAergic 3",227.164855184208,352
"Glutamate","MG","Neuro 1",224.784398423663,368
"Glutamate","GABAergic 3","OPC",223.963180321515,344
"Glutamate","GABAergic 6","OPC",222.934987543202,368
"Glutamate","PER/Endo","GABAergic 2",222.249083702648,360
"Glutamate","OPC","GABAergic 2",222.066642671434,352
"Glutamate","MG","Glutamatergic 1",222.007380635371,376
"Glutamate","MG","GABAergic 6",221.95696288114,368
"Glutamate","PER/Endo","Glutamatergic 7",221.441388820594,328
"Glutamate","OPC","Glutamatergic 7",221.368721355619,328
"Glutamate","PER/Endo","Glutamatergic 4",219.934747228682,336
"Glutamate","OPC","Glutamatergic 4",219.830959270714,336
"Glutamate","PER/Endo","Glutamatergic 9",215.434089988954,352
"Glutamate","OPC","Glutamatergic 9",215.335702786894,352
"Glutamate","PER/Endo","Glutamatergic 5",215.316844263133,336
"Glutamate","OPC","Glutamatergic 5",215.251962686032,336
"Glutamate","PER/Endo","Neuro 1",212.952337366925,368
"Glutamate","OPC","Neuro 1",212.856222126621,368
"Glutamate","MG","GABAergic 4",210.409091348838,352
"Glutamate","PER/Endo","GABAergic 6",210.272928726529,368
"Glutamate","PER/Endo","Glutamatergic 1",210.250226703248,368
"Glutamate","OPC","GABAergic 6",210.097852936582,360
"Glutamate","OPC","Glutamatergic 1",210.01191526245,352
"Glutamate","MG","Glutamatergic 6",207.215384640008,368
"Glutamate","Glutamatergic 2","NB",201.841023644081,352
"Glutamate","Glutamatergic 10","NB",201.798369102224,336
"Glutamate","Glutamatergic 1","NB",199.858769124477,337
"Glutamate","Glutamatergic 10","OLIGO",199.643160368132,360
"Glutamate","Glutamatergic 2","OLIGO",199.551633226857,360
"Glutamate","PER/Endo","GABAergic 4",199.34163486506,352
"Glutamate","OPC","GABAergic 4",199.196598354774,344
"Glutamate","GABAergic 1","OPC",199.081080226437,344
"Glutamate","GABAergic 4","OPC",198.200564244992,360
"Glutamate","Glutamatergic 1","OLIGO",197.784585358418,361
"Glutamate","Glutamatergic 9","NB",196.914438663039,353
"Glutamate","PER/Endo","Glutamatergic 6",196.08577987566,344
"Glutamate","OPC","Glutamatergic 6",195.904518977217,328
"Glutamate","Glutamatergic 9","OLIGO",194.732636173581,361
"Glutamate","MG","GABAergic 5",194.639073265279,328
"Glutamate","Glutamatergic 10","ASTRO",192.682508096355,368
"Glutamate","Glutamatergic 2","ASTRO",192.5823551348,368
"Glutamate","Glutamatergic 6","NB",192.412509417198,336
"Glutamate","Glutamatergic 1","ASTRO",190.913047380834,369
"Glutamate","OLIGO","GABAergic 1",190.839604624345,352
"Glutamate","Glutamatergic 6","OLIGO",190.384246534933,360
"Glutamate","OLIGO","Glutamatergic 10",190.315994683261,360
"Glutamate","Glutamatergic 4","NB",190.015805575923,336
"Glutamate","Glutamatergic 9","ASTRO",188.021219653619,377
"Glutamate","Glutamatergic 4","OLIGO",187.996605491571,360
"Glutamate","OLIGO","Glutamatergic 3",187.934989660281,360
"Glutamate","Glutamatergic 3","NB",187.481110817347,336
"Glutamate","GABAergic 5","OPC",187.034886477325,344
"Glutamate","Glutamatergic 3","OLIGO",185.507302532066,360
"Glutamate","PER/Endo","GABAergic 5",184.402107527501,328
"Glutamate","OPC","GABAergic 5",184.123127500152,304
"Glutamate","Glutamatergic 6","ASTRO",183.735789814515,368
"Glutamate","Glutamatergic 7","NB",183.137154939459,336
"Glutamate","Glutamatergic 4","ASTRO",181.437970778801,368
"Glutamate","Glutamatergic 7","OLIGO",181.182784697152,360
"Glutamate","ASTRO","GABAergic 1",180.609677396452,289
"Glutamate","ASTRO","Glutamatergic 10",179.875067257041,281
"Glutamate","OLIGO","Glutamatergic 8",179.750487758732,352
"Glutamate","Glutamatergic 3","ASTRO",179.028171953695,368
"Glutamate","Glutamatergic 5","NB",177.928883948002,328
"Glutamate","ASTRO","Glutamatergic 3",177.846946940439,313
"Glutamate","Glutamatergic 8","NB",176.540884003203,328
"Glutamate","OLIGO","Glutamatergic 2",176.228708625663,360
