rank,MOL_ID,molecule_name,SMILES,composite_score_adjusted,composite_score,NFE2L2,HMOX1,GPX4,TFRC,SLC7A11,ACSL4,FTH1,PTGS2,KEAP1
418,MOL013742,Colochiroside A_qt,Cc1cc(O)c2c(c1)C[C@@H](O)C1=C2C(=O)c2c(O)ccc(O[C@H]3C[C@H](O)[C@H](O[C@H]4CC(O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@@H]7C[C@@H](O[C@H]8CC[C@H](O)[C@H](C)O8)[C@@H](O)[C@@H](C)O7)[C@H](C)O6)[C@H](C)O5)[C@H](O)[C@H](C)O4)[C@H](C)O3)c2C1=O,0.5057589488517504,0.5057589488517504,0.746222734451294,0.5987961292266846,0.5677060484886169,0.2825109362602234,0.31855103373527527,0.26545873284339905,0.2838954031467438,0.7602725028991699,0.7329036593437195
419,MOL009551,isoprincepin,COc1c(Br)cc(/C=C2\O[C@H]3[C@@H](Cl)C[C@H](NC(=N)N)N3C2=O)cc1Br,0.505275859293498,0.505275859293498,0.7491840720176697,0.605074942111969,0.5554407835006714,0.27056068181991577,0.32070815563201904,0.2587818503379822,0.2842545509338379,0.7602783441543579,0.7267167568206787
420,MOL011075,Shikodonin,C=C1C(=O)[C@]23C[C@H]1C[C@@H](O)[C@H]2[C@@]1(CCC[C@@]2(C)CO[C@H](O)C21)COC3=O,0.5052371030989584,0.5052371030989584,0.7459675073623657,0.5698883533477783,0.5144394636154175,0.25931355357170105,0.3068724572658539,0.262482225894928,0.2685733139514923,0.7608649134635925,0.7134956121444702
421,MOL004020,gossypetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12,0.5048437194811992,0.5048437194811992,0.7498993277549744,0.5394287109375,0.4716894328594208,0.2759142518043518,0.29587996006011963,0.25781846046447754,0.28768038749694824,0.7604784965515137,0.7378333210945129
422,,Preleoheterin,CC1C(O)C(=O)C2C(C)(C)CCCC2(C)C12CCC1(C=COC1)O2,0.5046814219851888,0.5046814219851888,0.7466381192207336,0.5719140768051147,0.5057224035263062,0.27054646611213684,0.30828434228897095,0.2587019205093384,0.2784103751182556,0.7599918842315674,0.724138617515564
423,MOL004388,"6-hydroxy-11,12-dimethoxy-2,2-dimethyl-1,8-dioxo-2,3,4,8-tetrahydro-1H-isochromeno[3,4-h]isoquinolin-2-ium",COc1cc2c(cc1OC)[C@@H]1Cc3cc(OC)c(OC)cc3[C@H](C2)[N+]1(C)C,0.5035309511245476,0.5035309511245476,0.7511663436889648,0.5412862300872803,0.4845442771911621,0.299277126789093,0.2966247797012329,0.25884902477264404,0.28100231289863586,0.7595910429954529,0.7315020561218262
424,MOL014208,CEG-6_qt,CC(C)C[C@H]1OC(=O)[C@H](C(C)C)/N=C(\O)[C@H](C)OC(=O)[C@@H](C(C)C)/N=C(/O)[C@@H](CC(C)C)OC(=O)[C@H](C(C)C)/N=C(\O)[C@H](C)OC(=O)[C@@H](C(C)C)/N=C(/O)[C@@H](CC2CCCCC2)OC(=O)[C@H](Cc2ccc(O)cc2)/N=C(\O)[C@H](C)OC(=O)[C@@H](C(C)C)/N=C/1O,0.5030878297303246,0.5030878297303246,0.7463915348052979,0.5764350295066833,0.518989622592926,0.2647521495819092,0.30499374866485596,0.2622333765029907,0.2696000337600708,0.7598832845687866,0.7108173370361328
425,MOL001698,Clei B,CCCCCCCCC[C@@H]1C/C(O)=N/[C@@H](CO)C(=O)O[C@H](CCCCCCC)C/C(O)=N/[C@@H](CO)C(=O)O1,0.5023041101226497,0.5023041101226497,0.7459768056869507,0.5401730537414551,0.46141961216926575,0.26830944418907166,0.28946352005004883,0.2549068033695221,0.2681058347225189,0.7601818442344666,0.7208583354949951
426,MOL002656,dihydroniloticin,C[C@@H](C[C@@H](O)[C@@H]1OC1(C)C)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,0.5018945044678843,0.5018945044678843,0.7478449940681458,0.5731548070907593,0.5205971002578735,0.27018314599990845,0.3149636685848236,0.2560894191265106,0.29354098439216614,0.7590785622596741,0.727664053440094
427,MOL000490,petunidin,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(O)c1O,0.501687710017414,0.501687710017414,0.7497818470001221,0.524893045425415,0.46224623918533325,0.27551573514938354,0.2911858558654785,0.25613459944725037,0.2810555100440979,0.7605255246162415,0.733553409576416
